match_id,team1_score,team1_total_wins_against_team2,team2_total_wins_against_team1,team1_wins_against_team2_last_three,team2_wins_against_team1_last_three,team1_form_last_5,team2_form_last_5,team1_last_5_avg_score,team1_last_5_runs_conceded,team2_last_5_avg_score,team2_last_5_runs_conceded,team1_chasing_win_rate,team1_defending_win_rate,team2_chasing_win_rate,team2_defending_win_rate,venue_avg_score,chasing_win_rate_venue,team1_win_rate_at_venue,team2_win_rate_at_venue,winner_slot,toss_winner_slot
336026,154,0,1,0,1,1,1,136.2,150.0,153.0,151.2,0.0,0.0,0.0,0.0,148.2,0.5,0.2,0.0,0,0
336027,147,0,1,0,1,3,4,136.4,107.6,142.0,128.2,0.0,0.5,1.0,0.5,119.7,0.0,0.6,0.0,0,0
336028,189,1,0,1,0,4,5,141.2,147.4,134.0,122.4,0.667,0.5,0.6,0.0,130.0,1.0,0.0,0.667,1,0
336029,126,0,1,0,1,0,3,135.8,151.0,144.8,161.0,0.0,0.0,1.0,0.5,168.6,0.333,0.0,0.6,1,1
336031,175,0,1,0,1,1,4,160.8,172.2,143.4,151.2,0.4,0.0,0.667,0.5,169.9,0.0,0.0,0.8,0,0
336032,176,1,0,1,0,4,2,139.2,133.6,147.2,144.4,0.5,0.0,0.5,0.0,159.6,0.333,0.0,0.6,0,0
336033,211,1,0,1,0,4,3,150.0,135.8,138.4,156.6,1.0,0.5,1.0,0.5,160.33,0.333,0.0,0.5,1,1
336002,165,0,1,0,1,0,1,166.2,179.0,135.8,148.0,0.4,0.0,0.0,0.5,176.3,0.667,0.0,0.0,0,1
336035,174,1,0,1,0,4,2,153.6,161.0,140.0,112.8,0.75,0.5,0.0,0.5,124.5,1.0,0.0,0.5,0,1
336036,145,1,0,1,0,3,5,153.6,148.8,171.6,155.2,0.5,0.0,1.0,0.667,152.08,0.667,0.0,1.0,0,0
336037,147,1,0,1,0,0,2,171.2,185.0,141.0,161.4,0.4,0.0,1.0,0.5,174.92,0.667,0.0,0.0,0,1
336019,221,0,1,0,1,4,5,155.8,159.8,172.6,156.2,0.75,0.333,1.0,0.667,171.0,0.5,0.833,0.0,1,0
336012,122,1,0,1,0,2,2,145.2,155.2,151.0,146.8,0.0,0.5,0.5,0.0,149.5,0.6,0.167,0.0,0,0
336038,192,1,1,1,1,4,3,176.8,169.2,151.8,147.8,0.857,0.667,0.667,0.0,144.62,0.667,0.0,0.0,1,0
336039,112,0,2,0,2,4,2,171.2,167.2,134.4,158.2,0.75,0.333,1.0,0.5,143.6,0.5,1.0,0.0,0,1
336040,163,0,2,0,2,3,4,126.4,149.0,175.8,160.2,1.0,0.5,0.857,0.667,135.17,0.667,0.0,0.0,0,0
392181,165,1,1,1,1,2,2,162.6,157.8,148.0,152.0,0.571,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1,0
392182,133,0,2,0,2,2,4,141.0,151.6,178.6,163.4,0.0,0.5,0.875,0.667,155.5,0.0,0.0,0.0,1,1
392184,101,2,0,2,0,2,0,134.2,111.4,164.4,173.8,0.0,0.5,0.4,0.0,125.5,0.0,0.0,0.0,0,1
392183,104,2,0,2,0,3,3,174.8,166.8,147.2,159.6,0.75,0.25,0.5,0.0,117.83,0.0,0.0,0.0,0,0
392185,179,1,1,1,1,2,3,154.8,159.8,141.2,123.8,0.5,0.5,0.0,0.667,0.0,0.0,0.0,0.0,1,1
392186,158,1,1,1,1,2,1,157.8,140.8,127.8,110.2,0.75,0.25,0.0,0.429,0.0,0.0,0.0,0.0,0,0
392188,184,0,2,0,2,1,3,148.8,155.2,127.8,128.0,0.4,0.0,0.0,0.667,108.62,0.5,1.0,1.0,1,1
392189,189,1,1,1,1,3,3,120.0,144.0,150.4,135.0,0.6,0.0,0.5,0.6,118.5,1.0,0.0,0.0,1,1
392191,168,0,2,0,2,2,1,134.6,142.4,153.8,121.6,0.0,0.667,0.75,0.25,151.5,1.0,0.0,0.0,0,1
