match_id,winner_slot,venue_avg_score,chasing_win_rate_venue,team1_win_rate_at_venue,team2_win_rate_at_venue,team1_total_wins_against_team2,team2_total_wins_against_team1,team1_wins_against_team2_last_three,team2_wins_against_team1_last_three,team1_form_last_5,team2_form_last_5,team1_last_5_avg_score,team1_last_5_runs_conceded,team2_last_5_avg_score,team2_last_5_runs_conceded,team1_chasing_win_rate,team1_defending_win_rate,team2_chasing_win_rate,team2_defending_win_rate,toss_winner_slot
1216516,1,154.92307692307693,0.2,0.6666666666666666,0.6666666666666666,3.0,9.0,1.0,2.0,1,2,158.8,159.6,159.2,169.8,0.5555555555555556,0.3809523809523809,0.6363636363636364,0.625,1
1216514,0,146.25,0.4285714285714285,0.6666666666666666,0.0,10.0,8.0,2.0,0.0,2,2,147.0,156.0,142.6,155.2,0.5714285714285714,0.4375,0.5,0.45,1
1216515,1,168.375,0.5,0.0,1.0,1.0,0.0,1.0,0.0,2,3,158.2,152.6,156.6,158.2,0.5555555555555556,0.5,0.6031746031746031,0.5,0
1216513,0,155.32142857142858,0.2,0.6666666666666666,0.5,8.0,12.0,1.0,2.0,2,1,180.4,170.6,160.4,173.2,0.4912280701754385,0.2307692307692307,0.6363636363636364,0.625,1
1216538,1,174.0,0.4285714285714285,0.0,0.0,6.0,7.0,1.0,1.0,3,2,179.6,160.8,156.6,155.4,0.5636363636363636,0.5454545454545454,0.5555555555555556,0.4090909090909091,1
1216519,1,156.93333333333334,0.2,0.5,0.4,2.0,0.0,2.0,0.0,2,3,170.8,162.2,161.8,177.8,0.5555555555555556,0.5,0.5,0.45,0
1216511,1,147.0,0.4285714285714285,0.5,0.5,10.0,10.0,0.0,3.0,3,2,191.4,166.0,169.6,175.2,0.5636363636363636,0.5555555555555556,0.5714285714285714,0.4242424242424242,1
1216501,1,148.25,0.4285714285714285,0.4,0.6666666666666666,7.0,13.0,1.0,2.0,2,2,161.6,167.2,167.0,179.0,0.59375,0.5,0.6363636363636364,0.625,1
1216542,1,157.53125,0.1818181818181818,0.75,0.5,10.0,4.0,2.0,1.0,2,1,159.0,164.0,181.4,172.8,0.5555555555555556,0.4090909090909091,0.4912280701754385,0.2222222222222222,1
1216500,1,175.7,0.4285714285714285,1.0,0.6666666666666666,2.0,0.0,2.0,0.0,3,2,180.6,159.4,173.8,189.6,0.5555555555555556,0.5,0.5714285714285714,0.4242424242424242,0
1216525,1,158.05882352941177,0.1818181818181818,0.3333333333333333,0.6,8.0,15.0,1.0,2.0,2,1,153.6,182.0,165.2,180.0,0.492063492063492,0.45,0.6363636363636364,0.625,1
1216523,1,149.16666666666666,0.4285714285714285,0.5,0.6666666666666666,17.0,8.0,3.0,0.0,3,1,168.4,171.8,176.4,181.6,0.59375,0.5161290322580645,0.4912280701754385,0.2222222222222222,1
1216529,0,150.03125,0.4285714285714285,0.0,0.6,1.0,1.0,1.0,1.0,4,4,186.0,155.6,197.6,160.0,0.5555555555555556,0.5,0.5636363636363636,0.5652173913043478,1
